document,cluster
ABSTRACT WORKER #1,0
ABSTRACT WORKER #2,0
Angelo,4
BING BONG,2
BOYFRIEND GENERATOR WORKER,0
CLOUD MAN,0
CLOUD WITNESS,0
DAD,0
DAD'S Angelo,0
DAD'S Felipe,0
DREAM DIRECTOR,0
DREAM PRODUCTIONS COP #1,0
DREAM STUDENT #1,0
DREAM STUDENT #2,0
Diane,0
EXTRA,0
FEMALE FORGETTER,0
Felipe,3
GIRL ALARM,0
GUM MEMORY,0
HELICOPTER PILOT,0
HOCKEY COACH,0
HOCKEY TEAMMATE,0
HOUSE OF CARDS WORKER,0
IMAGINARY BOYFRIEND,0
IMAGINARY BOYFRIENDS,0
JANGLES,0
Joyce,1
MALE FORGETTER,0
MEG,0
MIND WORKER COP #1,0
MIND WORKER COP #2,0
MOM,0
MOM'S Angelo,0
MOM'S Diane,0
MOM'S Felipe,0
MOM'S Joyce,0
MOM'S Sandra,0
MOUSE,0
PIZZA BEAR,0
PIZZA SLICE,0
RILEY,0
RILEY VOICE,0
SPORTS ANNOUNCER,0
SUBCONSCIOUS GUARD DAVE,0
SUBCONSCIOUS GUARD FRANK,0
Sandra,0
TEACHER,0
TRAIN ENGINEER,0
WORKER #1,0
WORKER FRITZ,0
YOUNG RILEY,0
