rank,indices,names,value
1,"(0, 1)","('ABSTRACT WORKER #1', 'ABSTRACT WORKER #2')",0.0
2,"(0, 4)","('ABSTRACT WORKER #1', 'BOYFRIEND GENERATOR WORKER')",0.0
3,"(0, 6)","('ABSTRACT WORKER #1', 'CLOUD WITNESS')",0.0
4,"(0, 11)","('ABSTRACT WORKER #1', 'DREAM PRODUCTIONS COP #1')",0.0
5,"(0, 18)","('ABSTRACT WORKER #1', 'GIRL ALARM')",0.0
6,"(0, 19)","('ABSTRACT WORKER #1', 'GUM MEMORY')",0.0
7,"(0, 20)","('ABSTRACT WORKER #1', 'HELICOPTER PILOT')",0.0
8,"(0, 23)","('ABSTRACT WORKER #1', 'HOUSE OF CARDS WORKER')",0.0
9,"(0, 24)","('ABSTRACT WORKER #1', 'IMAGINARY BOYFRIEND')",0.0
10,"(0, 25)","('ABSTRACT WORKER #1', 'IMAGINARY BOYFRIENDS')",0.0
