topic,counts,top 10 words
Topic 28,2283,! ? go get back look like oh know yeah
Topic 18,696,memory Joyce core happy well work read blue think let
Topic 0,657,Riley play want hockey get friend day walk smile push
Topic 15,537,Joyce Bong Bing Sandra way run another come away lose
Topic 23,395,Sandra Joyce wait around behind follow fix spot give lead
Topic 29,366,mom Dad come really emotion face miss could night good
Topic 24,282,Island ha headquarters Family way need island home make Friendship
Topic 17,271,move dream look away cool love Minnesota live whoa past
Topic 21,246,run good turn tell stay circle step noise mouse help
Topic 4,238,Felipe console screen Diane roll Riley toot golden Alright insert
Topic 25,229,fade remember rocket hill forget part cry team louder tree
Topic 12,222,new Angelo let house kid guy bag dead give AIIIIIGHH
Topic 20,212,station point headquarters face leg come would ?! abstract positive
Topic 13,209,phone school well room even people suppose open monkey door
Topic 9,206,oh window car holder ?! button think floor worry today
Topic 27,201,Riley guy onto pull throw fly power place happily shut
Topic 7,199,shelf touch long gum manual course hello walk friendship figure
Topic 19,185,keep would thank die first rain broccoli goal bear start
Topic 1,173,head pull place stand nothing wall kind job huh fun
Topic 2,168,train towards dump three two trio together rumble normal box
Topic 6,154,fall move stick stop line land stage arm POP color
Topic 10,132,drop ice puck skate alright school change ta green score
Topic 5,125,!!! thing drive pizza bus slide room safe daydream disgust
Topic 26,124,gon girl na van Whoa paper lightline foot Vu last
Topic 3,124,camera set student today forward plug everybody everyone Andersen desk
Topic 8,123,something !! notice big take let helicopter pilot stupid need
Topic 22,114,wake ow candy birthday vacuum dark Jangles scare giant much
Topic 11,94,hey cloud Cloud rocket nom french house Castle medal Witness
Topic 14,84,cheer across Foot ha Sir launch begin idea huh high
Topic 16,77,hat hide inspect guard label step friend loudly THIS spoonful
